Path,Field,DataType,Size,Dim1,Dim2,AttrDepth,TimeInfo,Comment
/AwakeEventData/AIRTR02/Acq,position,|S2,1,1,0,0,None,None
/AwakeEventData/AWAKEInjPhaseShifter/PhaseSettings,phaseAValues,|S118,1,None,None,0,None,None
/AwakeEventData/BLMITT41/Acquisition,acqDesc,|S1,1,1,0,2,None,None
/AwakeEventData/BLMITT41/Acquisition,acqMsg,|S1,1,1,0,2,None,None
/AwakeEventData/BLMITT41/Acquisition,acqState,int64,1,1,0,2,None,None
/AwakeEventData/BLMITT41/Acquisition,acqTime,int32,1,1,0,2,None,None
/AwakeEventData/BLMITT41/Acquisition,alarmStatus,int16,40,40,0,2,None,None
/AwakeEventData/BLMITT41/Acquisition,blrSignalStatus,int16,40,40,0,2,None,None
/AwakeEventData/BLMITT41/Acquisition,calLosses,float32,40,40,0,2,None,None
/AwakeEventData/BLMITT41/Acquisition,calLosses_unit,|S4,1,1,0,2,None,None
/AwakeEventData/BLMITT41/Acquisition,calLosses_unitExponent,int32,1,1,0,2,None,None
/AwakeEventData/BLMITT41/Acquisition,calThresholds,float32,40,40,0,2,None,None
/AwakeEventData/BLMITT41/Acquisition,channelNames,|S15,15,15,0,2,None,None
/AwakeEventData/BLMITT41/Acquisition,deviceName,|S5,1,1,0,2,None,None
/AwakeEventData/BLMITT41/Acquisition,enableExtFlagBIC,int32,2,2,0,2,None,None
/AwakeEventData/BLMITT41/Acquisition,measStamp,int32,1,1,0,2,None,None
/AwakeEventData/BLMITT41/Acquisition,nbOfChannels,int32,1,1,0,2,None,None
/AwakeEventData/BLMITT41/Acquisition,nbOfMeas,int32,1,1,0,2,None,None
/AwakeEventData/BLMITT41/Acquisition,normLosses,float32,40,40,0,2,None,None
/AwakeEventData/BLMITT41/Acquisition,observables,int64,1,1,0,2,None,None
/AwakeEventData/BLMITT41/Acquisition,rawLosses,int16,40,40,0,2,None,None
/AwakeEventData/BLMITT41/Acquisition,superCycleNb,int32,1,1,0,2,None,None
/AwakeEventData/BLMITT41/Acquisition,totalGains,int32,5,5,0,2,None,None
/AwakeEventData/BOVWA.01TCC4.CAM9/ExtractionImage,beamIntensity,float64,1,1,0,2,imageTimeStamp,None
/AwakeEventData/BOVWA.01TCC4.CAM9/ExtractionImage,beamSize,float64,1,1,0,2,imageTimeStamp,None
/AwakeEventData/BOVWA.01TCC4.CAM9/ExtractionImage,cogX,float64,1,1,0,2,imageTimeStamp,None
/AwakeEventData/BOVWA.01TCC4.CAM9/ExtractionImage,cogY,float64,1,1,0,2,imageTimeStamp,None
/AwakeEventData/BOVWA.01TCC4.CAM9/ExtractionImage,height,int32,1,1,0,2,imageTimeStamp,None
/AwakeEventData/BOVWA.01TCC4.CAM9/ExtractionImage,horProjAmp,float64,1,1,0,2,imageTimeStamp,None
/AwakeEventData/BOVWA.01TCC4.CAM9/ExtractionImage,horProjAvg,float64,1,1,0,2,imageTimeStamp,None
/AwakeEventData/BOVWA.01TCC4.CAM9/ExtractionImage,horProjSigma,float64,1,1,0,2,imageTimeStamp,None
/AwakeEventData/BOVWA.01TCC4.CAM9/ExtractionImage,horProjection,float64,1280,1280,0,2,imageTimeStamp,None
/AwakeEventData/BOVWA.01TCC4.CAM9/ExtractionImage,imageRawData,int16,1228800,960,1280,2,imageTimeStamp,None
/AwakeEventData/BOVWA.01TCC4.CAM9/ExtractionImage,imageTimeStamp,int64,1,1,0,2,imageTimeStamp,None
/AwakeEventData/BOVWA.01TCC4.CAM9/ExtractionImage,intensityAvg,float64,1,1,0,2,imageTimeStamp,None
/AwakeEventData/BOVWA.01TCC4.CAM9/ExtractionImage,intensityHistogram,int32,1000,1000,0,2,imageTimeStamp,None
/AwakeEventData/BOVWA.01TCC4.CAM9/ExtractionImage,intensityRMS,float64,1,1,0,2,imageTimeStamp,None
/AwakeEventData/BOVWA.01TCC4.CAM9/ExtractionImage,intensitySigma,float64,1,1,0,2,imageTimeStamp,None
/AwakeEventData/BOVWA.01TCC4.CAM9/ExtractionImage,pixelSize,float64,1,1,0,2,imageTimeStamp,None
/AwakeEventData/BOVWA.01TCC4.CAM9/ExtractionImage,verProjAmp,float64,1,1,0,2,imageTimeStamp,None
/AwakeEventData/BOVWA.01TCC4.CAM9/ExtractionImage,verProjAvg,float64,1,1,0,2,imageTimeStamp,None
/AwakeEventData/BOVWA.01TCC4.CAM9/ExtractionImage,verProjSigma,float64,1,1,0,2,imageTimeStamp,None
/AwakeEventData/BOVWA.01TCC4.CAM9/ExtractionImage,verProjection,float64,960,960,0,2,imageTimeStamp,None
/AwakeEventData/BOVWA.01TCC4.CAM9/ExtractionImage,width,int32,1,1,0,2,imageTimeStamp,None
/AwakeEventData/BOVWA.01TCC4.CAM9/PublishedSettings,delayTime,float64,1,1,0,2,None,None
/AwakeEventData/BOVWA.01TCC4.CAM9/PublishedSettings,exposureTime,float64,1,1,0,2,None,None
/AwakeEventData/BOVWA.01TCC4.CAM9/PublishedSettings,gain,int64,1,1,0,2,None,None
/AwakeEventData/BOVWA.01TCC4.CAM9/PublishedSettings,triggerMode,|S2,1,1,0,2,None,None
/AwakeEventData/BOVWA.01TT41.CAM1/ExtractionImage,beamIntensity,float64,1,1,0,2,imageTimeStamp,None
/AwakeEventData/BOVWA.01TT41.CAM1/ExtractionImage,beamSize,float64,1,1,0,2,imageTimeStamp,None
/AwakeEventData/BOVWA.01TT41.CAM1/ExtractionImage,cogX,float64,1,1,0,2,imageTimeStamp,None
/AwakeEventData/BOVWA.01TT41.CAM1/ExtractionImage,cogY,float64,1,1,0,2,imageTimeStamp,None
/AwakeEventData/BOVWA.01TT41.CAM1/ExtractionImage,height,int32,1,1,0,2,imageTimeStamp,None
/AwakeEventData/BOVWA.01TT41.CAM1/ExtractionImage,horProjAmp,float64,1,1,0,2,imageTimeStamp,None
/AwakeEventData/BOVWA.01TT41.CAM1/ExtractionImage,horProjAvg,float64,1,1,0,2,imageTimeStamp,None
/AwakeEventData/BOVWA.01TT41.CAM1/ExtractionImage,horProjSigma,float64,1,1,0,2,imageTimeStamp,None
/AwakeEventData/BOVWA.01TT41.CAM1/ExtractionImage,horProjection,float64,1280,1280,0,2,imageTimeStamp,None
/AwakeEventData/BOVWA.01TT41.CAM1/ExtractionImage,imageRawData,int16,1310720,1024,1280,2,imageTimeStamp,None
/AwakeEventData/BOVWA.01TT41.CAM1/ExtractionImage,imageTimeStamp,int64,1,1,0,2,imageTimeStamp,None
/AwakeEventData/BOVWA.01TT41.CAM1/ExtractionImage,intensityAvg,float64,1,1,0,2,imageTimeStamp,None
/AwakeEventData/BOVWA.01TT41.CAM1/ExtractionImage,intensityHistogram,int32,1000,1000,0,2,imageTimeStamp,None
/AwakeEventData/BOVWA.01TT41.CAM1/ExtractionImage,intensityRMS,float64,1,1,0,2,imageTimeStamp,None
/AwakeEventData/BOVWA.01TT41.CAM1/ExtractionImage,intensitySigma,float64,1,1,0,2,imageTimeStamp,None
/AwakeEventData/BOVWA.01TT41.CAM1/ExtractionImage,pixelSize,float64,1,1,0,2,imageTimeStamp,None
/AwakeEventData/BOVWA.01TT41.CAM1/ExtractionImage,verProjAmp,float64,1,1,0,2,imageTimeStamp,None
/AwakeEventData/BOVWA.01TT41.CAM1/ExtractionImage,verProjAvg,float64,1,1,0,2,imageTimeStamp,None
/AwakeEventData/BOVWA.01TT41.CAM1/ExtractionImage,verProjSigma,float64,1,1,0,2,imageTimeStamp,None
/AwakeEventData/BOVWA.01TT41.CAM1/ExtractionImage,verProjection,float64,1024,1024,0,2,imageTimeStamp,None
/AwakeEventData/BOVWA.01TT41.CAM1/ExtractionImage,width,int32,1,1,0,2,imageTimeStamp,None
/AwakeEventData/BOVWA.01TT41.CAM1/PublishedSettings,delayTime,float64,1,1,0,2,None,None
/AwakeEventData/BOVWA.01TT41.CAM1/PublishedSettings,exposureTime,float64,1,1,0,2,None,None
/AwakeEventData/BOVWA.01TT41.CAM1/PublishedSettings,gain,int64,1,1,0,2,None,None
/AwakeEventData/BOVWA.01TT41.CAM1/PublishedSettings,triggerMode,|S2,1,1,0,2,None,None
/AwakeEventData/BOVWA.02TCC4.CAM10/ExtractionImage,beamIntensity,float64,1,1,0,2,imageTimeStamp,None
/AwakeEventData/BOVWA.02TCC4.CAM10/ExtractionImage,beamSize,float64,1,1,0,2,imageTimeStamp,None
/AwakeEventData/BOVWA.02TCC4.CAM10/ExtractionImage,cogX,float64,1,1,0,2,imageTimeStamp,None
/AwakeEventData/BOVWA.02TCC4.CAM10/ExtractionImage,cogY,float64,1,1,0,2,imageTimeStamp,None
/AwakeEventData/BOVWA.02TCC4.CAM10/ExtractionImage,height,int32,1,1,0,2,imageTimeStamp,None
/AwakeEventData/BOVWA.02TCC4.CAM10/ExtractionImage,horProjAmp,float64,1,1,0,2,imageTimeStamp,None
/AwakeEventData/BOVWA.02TCC4.CAM10/ExtractionImage,horProjAvg,float64,1,1,0,2,imageTimeStamp,None
/AwakeEventData/BOVWA.02TCC4.CAM10/ExtractionImage,horProjSigma,float64,1,1,0,2,imageTimeStamp,None
/AwakeEventData/BOVWA.02TCC4.CAM10/ExtractionImage,horProjection,float64,1600,1600,0,2,imageTimeStamp,None
/AwakeEventData/BOVWA.02TCC4.CAM10/ExtractionImage,imageRawData,int16,1920000,1200,1600,2,imageTimeStamp,None
